,mouse_id,month,treatment,structure_volume,distribution_volume
465,#003,m1,No UV,17.72303866,0.013630155
466,#003,m1,No UV,15.17519241,0.013630155
467,#003,m1,No UV,16.90626514,0.013630155
468,#003,m1,No UV,15.6600025,0.013630155
469,#003,m1,No UV,14.36783749,0.013630155
470,#003,m1,No UV,14.50979748,0.013862652
471,#003,m1,No UV,19.33306272,0.013862652
472,#003,m1,No UV,17.05521775,0.013862652
473,#003,m1,No UV,16.50776378,0.013862652
474,#003,m1,No UV,16.1223053,0.013862652
475,#003,m1,No UV,17.50336548,0.013862652
476,#003,m1,No UV,17.03996659,0.013862652
477,#003,m1,No UV,13.5012151,0.013862652
478,#003,m1,No UV,15.53250753,0.014037025
479,#003,m1,No UV,15.86153579,0.014037025
480,#003,m1,No UV,14.93123843,0.014037025
481,#003,m1,No UV,13.59695828,0.014037025
482,#003,m1,No UV,16.17869508,0.014037025
483,#003,m1,No UV,14.77518312,0.014037025
484,#003,m1,No UV,16.31739687,0.014385771
485,#003,m1,No UV,13.06653307,0.014385771
486,#003,m1,No UV,14.85312943,0.014385771
487,#003,m1,No UV,15.12188548,0.014385771
488,#003,m1,No UV,15.25342207,0.014385771
489,#003,m1,No UV,14.09647035,0.014385771
490,#003,m1,No UV,15.58523063,0.014385771
491,#003,m1,No UV,16.35562977,0.014385771
492,#003,m1,No UV,14.27220809,0.014385771
493,#003,m1,No UV,14.92932038,0.014385771
494,#003,m1,No UV,14.85548815,0.014385771
495,#003,m1,No UV,15.27875094,0.014385771
496,#003,m1,No UV,14.07638877,0.014705455
497,#003,m1,No UV,14.32811241,0.014705455
498,#003,m1,No UV,15.41839845,0.014705455
499,#003,m1,No UV,14.0489747,0.014705455
500,#003,m1,No UV,15.93331345,0.014705455
501,#003,m1,No UV,14.32519787,0.014705455
502,#003,m1,No UV,13.0156161,0.014705455
503,#003,m1,No UV,14.51406961,0.014705455
504,#003,m1,No UV,15.22738041,0.014705455
505,#003,m1,No UV,15.38333282,0.014705455
506,#003,m1,No UV,14.06653307,0.014705455
507,#003,m1,No UV,13.69278378,0.014763579
508,#003,m1,No UV,14.78723519,0.014763579
509,#003,m1,No UV,13.45307704,0.014850766
510,#003,m1,No UV,13.98331788,0.014850766
511,#003,m1,No UV,13.22816073,0.014850766
512,#003,m1,No UV,15.10979854,0.015054201
513,#003,m1,No UV,15.92114009,0.015054201
514,#003,m1,No UV,13.08502941,0.015054201
515,#003,m1,No UV,14.46636569,0.015054201
516,#003,m1,No UV,17.42641012,0.015054201
517,#003,m1,No UV,14.77268927,0.015054201
518,#003,m1,No UV,16.29237021,0.015054201
519,#003,m1,No UV,16.0433697,0.015199512
520,#003,m1,No UV,19.90097353,0.015199512
521,#003,m1,No UV,15.457742,0.015199512
522,#003,m1,No UV,18.57271586,0.015199512
523,#003,m1,No UV,19.38330363,0.015199512
524,#003,m1,No UV,16.69447874,0.015373885
525,#003,m1,No UV,17.50631704,0.015373885
526,#003,m1,No UV,18.23451766,0.015373885
527,#003,m1,No UV,17.02634809,0.015373885
528,#003,m1,No UV,18.98287487,0.015373885
529,#003,m1,No UV,17.94925499,0.015373885
530,#003,m1,No UV,19.13875645,0.015548258
531,#003,m1,No UV,16.48280622,0.015548258
532,#003,m1,No UV,16.68257197,0.015548258
533,#003,m1,No UV,17.67758167,0.015548258
534,#003,m1,No UV,15.85683426,0.015548258
535,#003,m1,No UV,16.85371947,0.015548258
536,#003,m1,No UV,16.33766471,0.016042315
537,#003,m1,No UV,15.94475212,0.016042315
538,#003,m1,No UV,15.66442943,0.016042315
539,#003,m1,No UV,15.80181065,0.016042315
540,#003,m1,No UV,13.05367786,0.016042315
541,#003,m1,No UV,15.71744583,0.016042315
542,#003,m1,No UV,14.85110459,0.016042315
543,#003,m1,No UV,16.89762574,0.016042315
544,#003,m1,No UV,14.66038799,0.016042315
545,#003,m1,No UV,16.17546215,0.016042315
546,#003,m1,No UV,16.59645474,0.016042315
547,#003,m1,No UV,15.89172782,0.016042315
548,#003,m1,No UV,15.0186261,0.016042315
549,#003,m1,No UV,15.98362598,0.016042315
550,#003,m1,No UV,13.11908359,0.016042315
551,#003,m1,No UV,14.89958636,0.016042315
552,#003,m1,No UV,15.97559383,0.016042315
553,#003,m1,No UV,15.47537639,0.01639106
554,#003,m1,No UV,15.77358042,0.01639106
555,#003,m1,No UV,18.02410323,0.01639106
556,#003,m1,No UV,15.84873869,0.01639106
557,#003,m1,No UV,13.99742298,0.01639106
558,#003,m1,No UV,15.53377047,0.01639106
559,#003,m1,No UV,16.30462957,0.01639106
560,#003,m1,No UV,14.88876979,0.01639106
561,#003,m1,No UV,16.06332999,0.01639106
562,#003,m1,No UV,14.64254799,0.01639106
563,#003,m1,No UV,14.67457918,0.01639106
564,#003,m1,No UV,14.87886566,0.01639106
565,#003,m1,No UV,13.41154477,0.01665262
566,#003,m1,No UV,13.8725577,0.01665262
567,#003,m1,No UV,15.22477626,0.01665262
568,#003,m1,No UV,15.07812104,0.01665262
569,#003,m1,No UV,14.62803659,0.01665262
570,#003,m1,No UV,13.0204291,0.01665262
571,#003,m1,No UV,17.52363588,0.01665262
572,#003,m1,No UV,17.68849039,0.01665262
573,#003,m1,No UV,18.44269347,0.01665262
574,#003,m1,No UV,15.20641444,0.016797931
575,#003,m1,No UV,14.78440845,0.016797931
576,#003,m1,No UV,18.14283148,0.016797931
577,#003,m1,No UV,17.01433494,0.016797931
578,#003,m1,No UV,16.1079626,0.016797931
579,#003,m1,No UV,15.38403321,0.016885117
580,#003,m1,No UV,17.23645807,0.016885117
581,#003,m1,No UV,17.40391039,0.016885117
582,#003,m1,No UV,17.1544749,0.016972304
583,#003,m1,No UV,19.52658595,0.016972304
584,#003,m1,No UV,18.78427581,0.016972304
585,#003,m1,No UV,17.74769212,0.017117615
586,#003,m1,No UV,16.92330998,0.017117615
587,#003,m1,No UV,20.3495766,0.017117615
588,#003,m1,No UV,16.44962415,0.017117615
589,#003,m1,No UV,15.26411441,0.017117615
590,#003,m1,No UV,15.18647822,0.017233863
591,#003,m1,No UV,16.82228214,0.017233863
592,#003,m1,No UV,14.85076684,0.017233863
593,#003,m1,No UV,15.2882605,0.017233863
594,#003,m1,No UV,15.82055849,0.017379174
